Id,OrgId,ParentMaterialId,ChildMaterialId,Quantity,Position,ScrapRate,BomViewType,Level,ValidFrom,ValidTo,VersionState,CreatedAt,UpdatedAt
1,1,43,352,4.62,75,0.0066,EBOM,1,2025-07-29,,Released,"2026-07-16 13:58:28","2026-07-16 13:58:28"
2,1,43,254,2.4,85,0.0075,EBOM,1,2026-01-09,,Released,"2026-07-16 13:58:28","2026-07-16 13:58:28"
3,1,43,393,4.78,43,0.0195,EBOM,1,2026-02-07,,Draft,"2026-07-16 13:58:28","2026-07-16 13:58:28"
4,1,43,105,2.01,53,0.0245,EBOM,1,2026-06-12,,Released,"2026-07-16 13:58:28","2026-07-16 13:58:28"
5,1,43,463,3.85,56,0.019,CBOM,1,2026-01-24,,Released,"2026-07-16 13:58:28","2026-07-16 13:58:28"
6,1,43,90,4.47,66,0.0198,MBOM,1,2025-11-25,,Released,"2026-07-16 13:58:28","2026-07-16 13:58:28"
7,1,487,76,4.63,92,0.0206,EBOM,1,2025-08-17,,Released,"2026-07-16 13:58:28","2026-07-16 13:58:28"
8,1,487,490,1.71,41,0.022,MBOM,1,2026-04-18,,Released,"2026-07-16 13:58:28","2026-07-16 13:58:28"
9,1,487,448,2.69,62,0.0089,EBOM,1,2026-04-27,,Released,"2026-07-16 13:58:28","2026-07-16 13:58:28"
10,1,196,448,2.03,30,0.0089,EBOM,2,2026-04-27,,Released,"2026-07-16 13:58:28","2026-07-16 13:58:28"
11,1,487,340,3.58,69,0.0024,EBOM,1,2025-07-20,,Released,"2026-07-16 13:58:28","2026-07-16 13:58:28"
12,1,487,280,2.92,39,0.0215,EBOM,1,2025-09-26,,Released,"2026-07-16 13:58:28","2026-07-16 13:58:28"
13,1,139,455,2.71,52,0.0089,EBOM,1,2026-04-07,,Released,"2026-07-16 13:58:28","2026-07-16 13:58:28"
14,1,139,297,4.16,76,0.0066,EBOM,1,2025-12-23,,Draft,"2026-07-16 13:58:28","2026-07-16 13:58:28"
15,1,139,84,4.89,2,0.0232,EBOM,1,2026-05-14,,Released,"2026-07-16 13:58:28","2026-07-16 13:58:28"
16,1,139,96,2.64,93,0.0135,EBOM,1,2026-07-01,,Released,"2026-07-16 13:58:28","2026-07-16 13:58:28"
17,1,196,466,4.63,74,0.0239,EBOM,1,2026-03-10,,Released,"2026-07-16 13:58:28","2026-07-16 13:58:28"
18,1,196,222,4.49,58,0.0188,EBOM,1,2026-06-01,,Released,"2026-07-16 13:58:28","2026-07-16 13:58:28"
19,1,196,201,3.28,41,0.021,EBOM,1,2025-10-29,,Released,"2026-07-16 13:58:28","2026-07-16 13:58:28"
20,1,196,143,4.11,84,0.0289,MBOM,1,2026-04-22,,Obsolete,"2026-07-16 13:58:28","2026-07-16 13:58:28"
21,1,196,277,1.65,94,0.0083,MBOM,1,2025-12-14,,Released,"2026-07-16 13:58:28","2026-07-16 13:58:28"
22,1,433,338,4.67,98,0.0219,MBOM,1,2026-04-24,,Released,"2026-07-16 13:58:28","2026-07-16 13:58:28"
23,1,433,498,2.57,77,0.0219,EBOM,1,2025-09-15,,Released,"2026-07-16 13:58:28","2026-07-16 13:58:28"
24,1,433,114,1.55,83,0.0231,EBOM,1,2026-04-08,,Released,"2026-07-16 13:58:28","2026-07-16 13:58:28"
25,1,2,114,1.34,89,0.0231,EBOM,2,2026-04-08,,Released,"2026-07-16 13:58:28","2026-07-16 13:58:28"
26,1,433,148,3.5,10,0.0213,EBOM,1,2026-03-12,,Released,"2026-07-16 13:58:28","2026-07-16 13:58:28"
27,1,22,405,4.94,66,0.0239,EBOM,1,2026-06-22,,Released,"2026-07-16 13:58:28","2026-07-16 13:58:28"
28,1,22,123,3.49,76,0.0252,EBOM,1,2026-05-31,,Released,"2026-07-16 13:58:28","2026-07-16 13:58:28"
29,1,22,36,3.37,52,0.0135,EBOM,1,2026-06-13,,Released,"2026-07-16 13:58:28","2026-07-16 13:58:28"
30,1,22,406,3.39,59,0.0278,EBOM,1,2025-12-25,,Released,"2026-07-16 13:58:28","2026-07-16 13:58:28"
31,1,22,53,4.21,23,0.0191,EBOM,1,2025-11-27,,Released,"2026-07-16 13:58:28","2026-07-16 13:58:28"
32,1,44,191,1.67,28,0.0232,EBOM,1,2025-11-23,,Released,"2026-07-16 13:58:28","2026-07-16 13:58:28"
33,1,44,80,4.95,9,0.0101,EBOM,1,2025-09-04,,Released,"2026-07-16 13:58:28","2026-07-16 13:58:28"
34,1,44,158,2.06,86,0.0002,EBOM,1,2025-07-21,,Released,"2026-07-16 13:58:28","2026-07-16 13:58:28"
35,1,44,374,2.08,21,0.0063,EBOM,1,2026-06-19,,Released,"2026-07-16 13:58:28","2026-07-16 13:58:28"
36,1,44,324,4.95,38,0.0234,EBOM,1,2026-01-02,,Released,"2026-07-16 13:58:28","2026-07-16 13:58:28"
37,1,44,305,1.23,7,0.0296,EBOM,1,2026-05-12,,Released,"2026-07-16 13:58:28","2026-07-16 13:58:28"
38,1,44,121,4.99,97,0.0128,MBOM,1,2026-04-10,,Released,"2026-07-16 13:58:28","2026-07-16 13:58:28"
39,1,391,229,2.87,56,0.0121,EBOM,1,2026-07-08,,Released,"2026-07-16 13:58:28","2026-07-16 13:58:28"
40,1,391,95,1.77,55,0.0117,EBOM,1,2026-06-19,,Obsolete,"2026-07-16 13:58:28","2026-07-16 13:58:28"
41,1,391,441,3.93,3,0.0017,EBOM,1,2025-10-31,,Released,"2026-07-16 13:58:28","2026-07-16 13:58:28"
