Id,BomId,VersionNumber,State,ApprovedBy,ApprovedAt,CreatedAt
1,136,1,Released,,,"2026-06-16 13:58:28"
2,136,2,Draft,,,"2026-07-16 13:58:28"
3,435,1,Released,,,"2026-06-16 13:58:28"
4,435,2,Obsolete,,,"2026-07-16 13:58:28"
5,3,1,Released,,,"2026-06-16 13:58:28"
6,3,2,Draft,,,"2026-07-16 13:58:28"
7,73,1,Released,,,"2026-06-16 13:58:28"
8,73,2,Draft,,,"2026-07-16 13:58:28"
9,78,1,Released,,,"2026-06-16 13:58:28"
10,78,2,Draft,,,"2026-07-16 13:58:28"
11,76,1,Released,,,"2026-06-16 13:58:28"
12,76,2,Draft,,,"2026-07-16 13:58:28"
13,213,1,Released,,,"2026-06-16 13:58:28"
14,213,2,Draft,,,"2026-07-16 13:58:28"
15,226,1,Released,,,"2026-06-16 13:58:28"
16,226,2,Obsolete,,,"2026-07-16 13:58:28"
17,523,1,Released,,,"2026-06-16 13:58:28"
18,523,2,Draft,,,"2026-07-16 13:58:28"
19,14,1,Released,,,"2026-06-16 13:58:28"
20,14,2,Draft,,,"2026-07-16 13:58:28"
21,152,1,Released,,,"2026-06-16 13:58:28"
22,152,2,Obsolete,,,"2026-07-16 13:58:28"
23,170,1,Released,,,"2026-06-16 13:58:28"
24,170,2,Draft,,,"2026-07-16 13:58:28"
25,181,1,Released,,,"2026-06-16 13:58:28"
26,181,2,Draft,,,"2026-07-16 13:58:28"
27,405,1,Released,,,"2026-06-16 13:58:28"
28,405,2,Draft,,,"2026-07-16 13:58:28"
29,408,1,Released,,,"2026-06-16 13:58:28"
30,408,2,Obsolete,,,"2026-07-16 13:58:28"
31,20,1,Released,,,"2026-06-16 13:58:28"
32,20,2,Obsolete,,,"2026-07-16 13:58:28"
33,67,1,Released,,,"2026-06-16 13:58:28"
34,67,2,Draft,,,"2026-07-16 13:58:28"
35,70,1,Released,,,"2026-06-16 13:58:28"
36,70,2,Draft,,,"2026-07-16 13:58:28"
37,110,1,Released,,,"2026-06-16 13:58:28"
38,110,2,Obsolete,,,"2026-07-16 13:58:28"
39,198,1,Released,,,"2026-06-16 13:58:28"
40,198,2,Draft,,,"2026-07-16 13:58:28"
41,247,1,Released,,,"2026-06-16 13:58:28"
42,247,2,Draft,,,"2026-07-16 13:58:28"
43,43,1,Released,,,"2026-06-16 13:58:28"
44,43,2,Draft,,,"2026-07-16 13:58:28"
45,341,1,Released,,,"2026-06-16 13:58:28"
46,341,2,Draft,,,"2026-07-16 13:58:28"
47,125,1,Released,,,"2026-06-16 13:58:28"
48,125,2,Obsolete,,,"2026-07-16 13:58:28"
49,349,1,Released,,,"2026-06-16 13:58:28"
50,349,2,Draft,,,"2026-07-16 13:58:28"
51,51,1,Released,,,"2026-06-16 13:58:28"
52,51,2,Obsolete,,,"2026-07-16 13:58:28"
53,477,1,Released,,,"2026-06-16 13:58:28"
54,477,2,Draft,,,"2026-07-16 13:58:28"
55,424,1,Released,,,"2026-06-16 13:58:28"
56,424,2,Draft,,,"2026-07-16 13:58:28"
57,117,1,Released,,,"2026-06-16 13:58:28"
58,117,2,Draft,,,"2026-07-16 13:58:28"
59,77,1,Released,,,"2026-06-16 13:58:28"
60,77,2,Draft,,,"2026-07-16 13:58:28"
61,80,1,Released,,,"2026-06-16 13:58:28"
62,80,2,Obsolete,,,"2026-07-16 13:58:28"
63,239,1,Released,,,"2026-06-16 13:58:28"
64,239,2,Draft,,,"2026-07-16 13:58:28"
65,40,1,Released,,,"2026-06-16 13:58:28"
66,40,2,Obsolete,,,"2026-07-16 13:58:28"
67,187,1,Released,,,"2026-06-16 13:58:28"
68,187,2,Draft,,,"2026-07-16 13:58:28"
69,71,1,Released,,,"2026-06-16 13:58:28"
70,71,2,Draft,,,"2026-07-16 13:58:28"
71,444,1,Released,,,"2026-06-16 13:58:28"
72,444,2,Draft,,,"2026-07-16 13:58:28"
73,462,1,Released,,,"2026-06-16 13:58:28"
74,462,2,Obsolete,,,"2026-07-16 13:58:28"
75,295,1,Released,,,"2026-06-16 13:58:28"
76,295,2,Draft,,,"2026-07-16 13:58:28"
77,298,1,Released,,,"2026-06-16 13:58:28"
78,298,2,Draft,,,"2026-07-16 13:58:28"
