Id,OrgId,Code,Name,Spec,Unit,Category,IsActive,CreatedAt,UpdatedAt
1,1,MAT-000001,"Mechanical Item-00001",Spec-2129,kg,Mechanical,1,"2026-07-16 13:58:28","2026-07-16 13:58:28"
2,1,MAT-000002,"Electronic Item-00002",Spec-3363,kg,Electronic,1,"2026-07-16 13:58:28","2026-07-16 13:58:28"
3,1,MAT-000003,"Packaging Item-00003",Spec-2562,set,Packaging,1,"2026-07-16 13:58:28","2026-07-16 13:58:28"
4,1,MAT-000004,"Packaging Item-00004",Spec-3315,kg,Packaging,1,"2026-07-16 13:58:28","2026-07-16 13:58:28"
5,1,MAT-000005,"Electronic Item-00005",Spec-4428,m,Electronic,1,"2026-07-16 13:58:28","2026-07-16 13:58:28"
6,1,MAT-000006,"SemiFinished Item-00006",Spec-1317,set,SemiFinished,1,"2026-07-16 13:58:28","2026-07-16 13:58:28"
7,1,MAT-000007,"Packaging Item-00007",Spec-4576,set,Packaging,1,"2026-07-16 13:58:28","2026-07-16 13:58:28"
8,1,MAT-000008,"SemiFinished Item-00008",Spec-7345,pcs,SemiFinished,1,"2026-07-16 13:58:28","2026-07-16 13:58:28"
9,1,MAT-000009,"Packaging Item-00009",Spec-1397,set,Packaging,1,"2026-07-16 13:58:28","2026-07-16 13:58:28"
10,1,MAT-000010,"Mechanical Item-00010",Spec-9155,kg,Mechanical,1,"2026-07-16 13:58:28","2026-07-16 13:58:28"
11,1,MAT-000011,"Mechanical Item-00011",Spec-2677,set,Mechanical,1,"2026-07-16 13:58:28","2026-07-16 13:58:28"
12,1,MAT-000012,"RawMaterial Item-00012",Spec-6247,m,RawMaterial,1,"2026-07-16 13:58:28","2026-07-16 13:58:28"
13,1,MAT-000013,"Packaging Item-00013",Spec-5820,pcs,Packaging,1,"2026-07-16 13:58:28","2026-07-16 13:58:28"
14,1,MAT-000014,"Packaging Item-00014",Spec-4460,roll,Packaging,1,"2026-07-16 13:58:28","2026-07-16 13:58:28"
15,1,MAT-000015,"SemiFinished Item-00015",Spec-1459,pcs,SemiFinished,1,"2026-07-16 13:58:28","2026-07-16 13:58:28"
16,1,MAT-000016,"Packaging Item-00016",Spec-2036,roll,Packaging,1,"2026-07-16 13:58:28","2026-07-16 13:58:28"
17,1,MAT-000017,"SemiFinished Item-00017",Spec-3606,pair,SemiFinished,1,"2026-07-16 13:58:28","2026-07-16 13:58:28"
18,1,MAT-000018,"Mechanical Item-00018",Spec-1400,kg,Mechanical,1,"2026-07-16 13:58:28","2026-07-16 13:58:28"
19,1,MAT-000019,"Mechanical Item-00019",Spec-1457,set,Mechanical,1,"2026-07-16 13:58:28","2026-07-16 13:58:28"
20,1,MAT-000020,"FinishedGood Item-00020",Spec-6655,roll,FinishedGood,1,"2026-07-16 13:58:28","2026-07-16 13:58:28"
21,1,MAT-000021,"SemiFinished Item-00021",Spec-4286,pcs,SemiFinished,1,"2026-07-16 13:58:28","2026-07-16 13:58:28"
22,1,MAT-000022,"SemiFinished Item-00022",Spec-7462,pcs,SemiFinished,1,"2026-07-16 13:58:28","2026-07-16 13:58:28"
23,1,MAT-000023,"RawMaterial Item-00023",Spec-1108,L,RawMaterial,1,"2026-07-16 13:58:28","2026-07-16 13:58:28"
24,1,MAT-000024,"Packaging Item-00024",Spec-5620,L,Packaging,1,"2026-07-16 13:58:28","2026-07-16 13:58:28"
25,1,MAT-000025,"Electronic Item-00025",Spec-8458,pcs,Electronic,1,"2026-07-16 13:58:28","2026-07-16 13:58:28"
26,1,MAT-000026,"RawMaterial Item-00026",Spec-1573,pcs,RawMaterial,1,"2026-07-16 13:58:28","2026-07-16 13:58:28"
27,1,MAT-000027,"Mechanical Item-00027",Spec-9220,pcs,Mechanical,1,"2026-07-16 13:58:28","2026-07-16 13:58:28"
28,1,MAT-000028,"Chemical Item-00028",Spec-4377,L,Chemical,1,"2026-07-16 13:58:28","2026-07-16 13:58:28"
29,1,MAT-000029,"Mechanical Item-00029",Spec-4354,pcs,Mechanical,1,"2026-07-16 13:58:28","2026-07-16 13:58:28"
30,1,MAT-000030,"RawMaterial Item-00030",Spec-8129,L,RawMaterial,1,"2026-07-16 13:58:28","2026-07-16 13:58:28"
31,1,MAT-000031,"Electronic Item-00031",Spec-3676,L,Electronic,1,"2026-07-16 13:58:28","2026-07-16 13:58:28"
32,1,MAT-000032,"Chemical Item-00032",Spec-7615,set,Chemical,1,"2026-07-16 13:58:28","2026-07-16 13:58:28"
33,1,MAT-000033,"RawMaterial Item-00033",Spec-9618,box,RawMaterial,1,"2026-07-16 13:58:28","2026-07-16 13:58:28"
34,1,MAT-000034,"FinishedGood Item-00034",Spec-2461,roll,FinishedGood,1,"2026-07-16 13:58:28","2026-07-16 13:58:28"
35,1,MAT-000035,"RawMaterial Item-00035",Spec-3998,L,RawMaterial,1,"2026-07-16 13:58:28","2026-07-16 13:58:28"
36,1,MAT-000036,"Packaging Item-00036",Spec-2212,kg,Packaging,1,"2026-07-16 13:58:28","2026-07-16 13:58:28"
37,1,MAT-000037,"SemiFinished Item-00037",Spec-5615,set,SemiFinished,1,"2026-07-16 13:58:28","2026-07-16 13:58:28"
38,1,MAT-000038,"Chemical Item-00038",Spec-7047,pair,Chemical,1,"2026-07-16 13:58:28","2026-07-16 13:58:28"
39,1,MAT-000039,"Packaging Item-00039",Spec-5967,m,Packaging,1,"2026-07-16 13:58:28","2026-07-16 13:58:28"
40,1,MAT-000040,"Chemical Item-00040",Spec-1217,roll,Chemical,1,"2026-07-16 13:58:28","2026-07-16 13:58:28"
41,1,MAT-000041,"FinishedGood Item-00041",Spec-1244,box,FinishedGood,1,"2026-07-16 13:58:28","2026-07-16 13:58:28"
42,1,MAT-000042,"SemiFinished Item-00042",Spec-1346,m,SemiFinished,1,"2026-07-16 13:58:28","2026-07-16 13:58:28"
43,1,MAT-000043,"SemiFinished Item-00043",Spec-4799,set,SemiFinished,1,"2026-07-16 13:58:28","2026-07-16 13:58:28"
44,1,MAT-000044,"RawMaterial Item-00044",Spec-2092,box,RawMaterial,1,"2026-07-16 13:58:28","2026-07-16 13:58:28"
45,1,MAT-000045,"RawMaterial Item-00045",Spec-3914,m,RawMaterial,1,"2026-07-16 13:58:28","2026-07-16 13:58:28"
46,1,MAT-000046,"Packaging Item-00046",Spec-1081,pair,Packaging,1,"2026-07-16 13:58:28","2026-07-16 13:58:28"
47,1,MAT-000047,"RawMaterial Item-00047",Spec-9062,pair,RawMaterial,1,"2026-07-16 13:58:28","2026-07-16 13:58:28"
48,1,MAT-000048,"SemiFinished Item-00048",Spec-8606,box,SemiFinished,1,"2026-07-16 13:58:28","2026-07-16 13:58:28"
49,1,MAT-000049,"SemiFinished Item-00049",Spec-6709,set,SemiFinished,1,"2026-07-16 13:58:28","2026-07-16 13:58:28"
50,1,MAT-000050,"Mechanical Item-00050",Spec-3675,kg,Mechanical,1,"2026-07-16 13:58:28","2026-07-16 13:58:28"
51,1,MAT-000051,"SemiFinished Item-00051",Spec-3077,pcs,SemiFinished,1,"2026-07-16 13:58:28","2026-07-16 13:58:28"
52,1,MAT-000052,"Chemical Item-00052",Spec-8033,box,Chemical,1,"2026-07-16 13:58:28","2026-07-16 13:58:28"
53,1,MAT-000053,"RawMaterial Item-00053",Spec-2680,box,RawMaterial,1,"2026-07-16 13:58:28","2026-07-16 13:58:28"
54,1,MAT-000054,"FinishedGood Item-00054",Spec-6005,set,FinishedGood,1,"2026-07-16 13:58:28","2026-07-16 13:58:28"
